joule;time
201.8807373;8.231832
210.4862061;8.238516
208.7123413;8.22514
218.4823608;8.237324
205.7791138;8.432465
207.90802;8.429673
202.5534058;8.237337
203.4123535;8.235389
202.7731323;8.023892
207.2056274;8.025662
217.0210571;8.225819
217.3942871;9.034471
199.0002441;8.23783
209.1604614;8.227758
273.2155151;8.228622
275.8096313;8.24944
290.8106689;8.230828
273.2182007;8.229992
299.1702881;8.227044
275.6148682;8.228149
303.4361572;8.226951
345.4222412;8.234348
314.7750854;8.227343
296.3023682;8.225773
250.8287354;8.232478
211.3001709;8.225969
213.4127808;8.242084
201.7106323;8.237024
204.8701782;8.228655
203.6818848;8.238761
